"Note: A 2% flat Payment Fee applies to all categories and is included in the final commission fee listed under the column ""Total Fee with Payment and VAT"".",,,,,,,,,,,,,,
Category,Sub-category 1,Sub-category 2,Sub-category 3,Sub-category 4,Commission,Total Fee with Payment and VAT,,,,,,,,
Digital Goods,Home Services,Repair,,,0.00%,2.26%,,,,,,,,
Digital Goods,Home Services,Replacement,,,0.00%,2.26%,,,,,,,,
Digital Goods,Local Vouchers,Activities & entertainment,,,0.00%,2.26%,,,,,,,,
Digital Goods,Local Vouchers,Activities and Entertainment,Theme Parks,,1.78%,4.27%,,,,,,,,
Digital Goods,Local Vouchers,Activities and Entertainment,eVouchers,,1.78%,4.27%,,,,,,,,
Digital Goods,Local Vouchers,Beauty & wellness,,,8.00%,11.30%,,,,,,,,
Digital Goods,Local Vouchers,Beauty and Wellness,Salon,,1.78%,4.27%,,,,,,,,
Digital Goods,Local Vouchers,Beauty and Wellness,eVouchers,,1.78%,4.27%,,,,,,,,
Digital Goods,Local Vouchers,Electronics,eVouchers,,1.78%,4.27%,,,,,,,,
Digital Goods,Local Vouchers,Fashion and apparel,,,1.78%,4.27%,,,,,,,,
Digital Goods,Local Vouchers,Food and beverage,,,1.78%,4.27%,,,,,,,,
Digital Goods,Local Vouchers,Food and Beverages,Meals,,1.78%,4.27%,,,,,,,,
Digital Goods,Local Vouchers,Health & Fitness,,,1.78%,4.27%,,,,,,,,
Digital Goods,Local Vouchers,Home,eVouchers,,1.78%,4.27%,,,,,,,,
Digital Goods,Local Vouchers,Hotel & Travel,Tour Packages,,1.78%,4.27%,,,,,,,,
Digital Goods,Local Vouchers,Hotel & Travel,eVouchers,,1.78%,4.27%,,,,,,,,
Digital Goods,Local Vouchers,Hotels & travel,,,8.00%,11.30%,,,,,,,,
Digital Goods,Local Vouchers,Live Concert,,,1.77%,4.26%,,,,,,,,
Digital Goods,Mobile Vouchers,,,,0.00%,2.26%,,,,,,,,
Digital Goods,Seller Services,,,,3.99%,6.77%,,,,,,,,
Digital Goods,Service Packages,,,,16.00%,20.34%,,,,,,,,
Fashion,Boys,Accessories,Hats & Caps,,15.00%,19.21%,,,,,,,,
Fashion,Boys,Accessories,Belts,,15.00%,19.21%,,,,,,,,
Fashion,Boys,Accessories,"Gloves, Scarves & Cold Weather",,15.00%,19.21%,,,,,,,,
Fashion,Boys,Accessories,Others,,15.00%,19.21%,,,,,,,,
Fashion,Boys,Accessories,Umbrellas & Rainwear,,15.00%,19.21%,,,,,,,,
Fashion,Boys,Clothing,Underwear & Socks,,15.00%,19.21%,,,,,,,,
Fashion,Boys,Clothing,Jackets & Coats,,15.00%,19.21%,,,,,,,,
Fashion,Boys,Clothing,Pants & Jeans,,15.00%,19.21%,,,,,,,,
Fashion,Boys,Clothing,Sleepwear,,15.00%,19.21%,,,,,,,,
Fashion,Boys,Clothing,Underwear & Socks,,15.00%,19.21%,,,,,,,,
Fashion,Boys,Clothing,T-Shirts & Shirts,,15.00%,19.21%,,,,,,,,
Fashion,Boys,Clothing,Sweaters & Cardigans,,15.00%,19.21%,,,,,,,,
Fashion,Boys,Clothing,Kurtas & Shalwar Kameez,,15.00%,19.21%,,,,,,,,
Fashion,Boys,Clothing,Hoodies,,15.00%,19.21%,,,,,,,,
Fashion,Boys,Clothing,Shorts,,15.00%,19.21%,,,,,,,,
Fashion,Boys,Clothing,Swimwear,,15.00%,19.21%,,,,,,,,
Fashion,Boys,Shoes,Boots,,15.00%,19.21%,,,,,,,,
Fashion,Boys,Shoes,Sneakers,,15.00%,19.21%,,,,,,,,
Fashion,Boys,Shoes,Formal Shoes,,15.00%,19.21%,,,,,,,,
Fashion,Boys,Shoes,Flip Flops,,15.00%,19.21%,,,,,,,,
Fashion,Boys,Shoes,Slip-Ons & Loafers,,15.00%,19.21%,,,,,,,,
Fashion,Boys,Shoes,Shoes Accessories,,15.00%,19.21%,,,,,,,,
Fashion,Girls,Accessories,Hair Accessories,,15.00%,19.21%,,,,,,,,
Fashion,Girls,Accessories,Hats & Caps,,15.00%,19.21%,,,,,,,,
Fashion,Girls,Accessories,Gloves,,15.00%,19.21%,,,,,,,,
Fashion,Girls,Accessories,Umbrellas & Rainwear,,15.00%,19.21%,,,,,,,,
Fashion,Girls,Accessories,Belts,,15.00%,19.21%,,,,,,,,
Fashion,Girls,Clothing,Socks & Tights,,15.00%,19.21%,,,,,,,,
Fashion,Girls,Clothing,Underwear & Sleepwear,,15.00%,19.21%,,,,,,,,
Fashion,Girls,Clothing,Dresses,,15.00%,19.21%,,,,,,,,
Fashion,Girls,Clothing,Sweaters & Cardigans,,15.00%,19.21%,,,,,,,,
Fashion,Girls,Clothing,Tops,,15.00%,19.21%,,,,,,,,
Fashion,Girls,Clothing,Hoodies,,15.00%,19.21%,,,,,,,,
Fashion,Girls,Clothing,Jackets & Coats,,15.00%,19.21%,,,,,,,,
Fashion,Girls,Clothing,Bottoms,,15.00%,19.21%,,,,,,,,
Fashion,Girls,Clothing,Shorts,,15.00%,19.21%,,,,,,,,
Fashion,Girls,Clothing,Swimming Costume,,15.00%,19.21%,,,,,,,,
Fashion,Girls,Shoes,Sneakers,,15.00%,19.21%,,,,,,,,
Fashion,Girls,Shoes,Boots,,15.00%,19.21%,,,,,,,,
Fashion,Girls,Shoes,Formal Shoes,,15.00%,19.21%,,,,,,,,
Fashion,Girls,Shoes,Flats & Slip-Ons,,15.00%,19.21%,,,,,,,,
Fashion,Girls,Shoes,Shoes Accessories,,15.00%,19.21%,,,,,,,,
Fashion,Girls,Shoes,"Flip Flops, Slides & Sandals",,15.00%,19.21%,,,,,,,,
Fashion,Kids Unisex,Accessories,Hats & Caps,,15.00%,19.21%,,,,,,,,
Fashion,Kids Unisex,Accessories,Gloves,,15.00%,19.21%,,,,,,,,
Fashion,Kids Unisex,Accessories,Umbrellas & Rainwear,,15.00%,19.21%,,,,,,,,
Fashion,Kids Unisex,Accessories,Belts,,15.00%,19.21%,,,,,,,,
Fashion,Kids Unisex,Clothing,Hoodies,,15.00%,19.21%,,,,,,,,
Fashion,Kids Unisex,Shoes,Sneakers,,15.00%,19.21%,,,,,,,,
Fashion,Kids Unisex,Shoes,Flip Flops,,15.00%,19.21%,,,,,,,,
Fashion,Kids Unisex,Shoes,Shoes Accessories,,15.00%,19.21%,,,,,,,,
Fashion,Kids Unisex,Shoes,Rain Boots,,15.00%,19.21%,,,,,,,,
Fashion,Men,Accessories,Hats & Caps,,15.00%,19.21%,,,,,,,,
Fashion,Men,Accessories,Belts,,15.00%,19.21%,,,,,,,,
Fashion,Men,Accessories,Gloves,,15.00%,19.21%,,,,,,,,
Fashion,Men,Accessories,Scarves,,15.00%,19.21%,,,,,,,,
Fashion,Men,Accessories,Ties & Bow Ties,,15.00%,19.21%,,,,,,,,
Fashion,Men,Accessories,Masks,,15.00%,19.21%,,,,,,,,
Fashion,Men,Accessories,Braces,,15.00%,19.21%,,,,,,,,
Fashion,Men,Accessories,Ties & Bow Ties,,15.00%,19.21%,,,,,,,,
Fashion,Men,Accessories,Umbrellas,,15.00%,19.21%,,,,,,,,
Fashion,Men,Clothing,Jackets & Coats,,15.00%,19.21%,,,,,,,,
Fashion,Men,Clothing,Hoodies & Sweatshirts,,15.00%,19.21%,,,,,,,,
Fashion,Men,Clothing,Pants,,15.00%,19.21%,,,,,,,,
Fashion,Men,Clothing,Jeans,,15.00%,19.21%,,,,,,,,
Fashion,Men,Clothing,Socks,,15.00%,19.21%,,,,,,,,
Fashion,Men,Clothing,Jackets & Coats,,15.00%,19.21%,,,,,,,,
Fashion,Men,Clothing,Innerwear,,15.00%,19.21%,,,,,,,,
Fashion,Men,Clothing,Sweaters & Cardigans,,15.00%,19.21%,,,,,,,,
Fashion,Men,Clothing,Casual Tops,,15.00%,19.21%,,,,,,,,
Fashion,Men,Clothing,Innerwear,,15.00%,19.21%,,,,,,,,
Fashion,Men,Clothing,Tracksuits,,15.00%,19.21%,,,,,,,,
Fashion,Men,Clothing,Pants,,15.00%,19.21%,,,,,,,,
Fashion,Men,Clothing,Pants,,15.00%,19.21%,,,,,,,,
Fashion,Men,Clothing,Jackets & Coats,,15.00%,19.21%,,,,,,,,
Fashion,Men,Clothing,Jackets & Coats,,15.00%,19.21%,,,,,,,,
Fashion,Men,Clothing,Shirts,,15.00%,19.21%,,,,,,,,
Fashion,Men,Clothing,Casual Tops,,15.00%,19.21%,,,,,,,,
Fashion,Men,Clothing,Jackets & Coats,,15.00%,19.21%,,,,,,,,
Fashion,Men,Clothing,Innerwear,,15.00%,19.21%,,,,,,,,
Fashion,Men,Clothing,Shorts,,15.00%,19.21%,,,,,,,,
Fashion,Men,Clothing,Suits,,15.00%,19.21%,,,,,,,,
Fashion,Men,Clothing,Traditional Clothing,,15.00%,19.21%,,,,,,,,
Fashion,Men,Clothing,Shirts,,15.00%,19.21%,,,,,,,,
Fashion,Men,Clothing,Polo T-Shirts,,15.00%,19.21%,,,,,,,,
Fashion,Men,Clothing,Jackets & Coats,,15.00%,19.21%,,,,,,,,
Fashion,Men,Clothing,Innerwear,,15.00%,19.21%,,,,,,,,
Fashion,Men,Clothing,Jackets & Coats,,15.00%,19.21%,,,,,,,,
Fashion,Men,Clothing,Sweaters & Cardigans,,15.00%,19.21%,,,,,,,,
Fashion,Men,Clothing,Suits,,15.00%,19.21%,,,,,,,,
Fashion,Men,Clothing,Suits,,15.00%,19.21%,,,,,,,,
Fashion,Men,Clothing,Shorts,,15.00%,19.21%,,,,,,,,
Fashion,Men,Clothing,Traditional Clothing,,15.00%,19.21%,,,,,,,,
Fashion,Men,Clothing,Swimwear,,15.00%,19.21%,,,,,,,,
Fashion,Men,Clothing,Pants,,15.00%,19.21%,,,,,,,,
Fashion,Men,Clothing,Traditional Clothing,,15.00%,19.21%,,,,,,,,
Fashion,Men,Clothing,Suits,,15.00%,19.21%,,,,,,,,
Fashion,Men,Clothing,Traditional Clothing,,15.00%,19.21%,,,,,,,,
Fashion,Men,Clothing,Innerwear,,15.00%,19.21%,,,,,,,,
Fashion,Men,Clothing,Traditional Clothing,,15.00%,19.21%,,,,,,,,
Fashion,Men,Clothing,Shorts,,15.00%,19.21%,,,,,,,,
Fashion,Men,Ethnic Wear,,,15.00%,19.21%,,,,,,,,
Fashion,Men,Shoes,Sneakers,,15.00%,19.21%,,,,,,,,
Fashion,Men,Shoes,Boots,,15.00%,19.21%,,,,,,,,
Fashion,Men,Shoes,Shoes Accessories,,15.00%,19.21%,,,,,,,,
Fashion,Men,Shoes,Formal Shoes,,15.00%,19.21%,,,,,,,,
Fashion,Men,Shoes,Flip Flops & Sandals,,15.00%,19.21%,,,,,,,,
Fashion,Men,Shoes,Slip-Ons & Loafers,,15.00%,19.21%,,,,,,,,
Fashion,Men,Shoes,Flip Flops & Sandals,,15.00%,19.21%,,,,,,,,
Fashion,Men,Shoes,Flip Flops & Sandals,,15.00%,19.21%,,,,,,,,
Fashion,Men,Shoes,Flip Flops & Sandals,,15.00%,19.21%,,,,,,,,
Fashion,Men,Shoes,Boots,,15.00%,19.21%,,,,,,,,
Fashion,Men,Shoes,Boots,,15.00%,19.21%,,,,,,,,
Fashion,Men,Shoes,Khusa & Kolapuri,,15.00%,19.21%,,,,,,,,
Fashion,Men,Shoes,Khusa & Kolapuri,,15.00%,19.21%,,,,,,,,
Fashion,Unisex,Accessories,Hats & Caps,,15.00%,19.21%,,,,,,,,
Fashion,Unisex,Accessories,Masks,,15.00%,19.21%,,,,,,,,
Fashion,Unisex,Clothing,Hoodies & Sweatshirts,,15.00%,19.21%,,,,,,,,
Fashion,Unisex,Clothing,T-Shirts,,15.00%,19.21%,,,,,,,,
Fashion,Unisex,Clothing,Couple & Family Sets,,15.00%,19.21%,,,,,,,,
Fashion,Unisex,Clothing,Couple & Family Sets,,15.00%,19.21%,,,,,,,,
Fashion,Unisex,Clothing,Shirts,,15.00%,19.21%,,,,,,,,
Fashion,Unisex,Clothing,Cardigans & Sweaters,,15.00%,19.21%,,,,,,,,
Fashion,Unisex,Clothing,Unstitched Fabric,,15.00%,19.21%,,,,,,,,
Fashion,Unisex,Clothing,Couple & Family Sets,,15.00%,19.21%,,,,,,,,
Fashion,Unisex,Clothing,Couple & Family Sets,,15.00%,19.21%,,,,,,,,
Fashion,Unisex,Clothing,Couple & Family Sets,,15.00%,19.21%,,,,,,,,
Fashion,Unisex,Shoes,Flip Flops & Sandals,,15.00%,19.21%,,,,,,,,
Fashion,Unisex,Shoes,Shoes Accessories,,15.00%,19.21%,,,,,,,,
Fashion,Unisex,Shoes,Sneakers,,15.00%,19.21%,,,,,,,,
Fashion,Unisex,Shoes,Flip Flops & Sandals,,15.00%,19.21%,,,,,,,,
Fashion,Women,Accessories,Hair Accessories,,15.00%,19.21%,,,,,,,,
Fashion,Women,Accessories,Scarves & Mufflers,,15.00%,19.21%,,,,,,,,
Fashion,Women,Accessories,Hats & Caps,,15.00%,19.21%,,,,,,,,
Fashion,Women,Accessories,Gloves,,15.00%,19.21%,,,,,,,,
Fashion,Women,Accessories,Belts,,15.00%,19.21%,,,,,,,,
Fashion,Women,Accessories,Umbrellas,,15.00%,19.21%,,,,,,,,
Fashion,Women,Accessories,Masks,,15.00%,19.21%,,,,,,,,
Fashion,Women,Accessories,Others,,15.00%,19.21%,,,,,,,,
Fashion,Women,Clothing,Pants & Leggings,,15.00%,19.21%,,,,,,,,
Fashion,Women,Clothing,Jackets & Coats,,15.00%,19.21%,,,,,,,,
Fashion,Women,Clothing,Socks & Tights,,15.00%,19.21%,,,,,,,,
Fashion,Women,Clothing,Traditional Clothing,Sarees,15.00%,19.21%,,,,,,,,
Fashion,Women,Clothing,Sweaters & Cardigans,,15.00%,19.21%,,,,,,,,
Fashion,Women,Clothing,Dresses,,15.00%,19.21%,,,,,,,,
Fashion,Women,Clothing,Traditional Clothing,Kurta Suruwal,15.00%,19.21%,,,,,,,,
Fashion,Women,Clothing,Hoodies & Sweatshirts,,15.00%,19.21%,,,,,,,,
Fashion,Women,Clothing,Pants & Leggings,,15.00%,19.21%,,,,,,,,
Fashion,Women,Clothing,Tops,,15.00%,19.21%,,,,,,,,
Fashion,Women,Clothing,Jeans,,15.00%,19.21%,,,,,,,,
Fashion,Women,Clothing,Pants & Leggings,,15.00%,19.21%,,,,,,,,
Fashion,Women,Clothing,Traditional Clothing,Party Wear & Lehenga,15.00%,19.21%,,,,,,,,
Fashion,Women,Clothing,Traditional Clothing,Kurtis,15.00%,19.21%,,,,,,,,
Fashion,Women,Clothing,Traditional Clothing,,15.00%,19.21%,,,,,,,,
Fashion,Women,Clothing,Jackets & Coats,,15.00%,19.21%,,,,,,,,
Fashion,Women,Clothing,Tops,,15.00%,19.21%,,,,,,,,
Fashion,Women,Clothing,Skirts,,15.00%,19.21%,,,,,,,,
Fashion,Women,Clothing,Tops,,15.00%,19.21%,,,,,,,,
Fashion,Women,Clothing,Traditional Clothing,,15.00%,19.21%,,,,,,,,
Fashion,Women,Clothing,Tops,,15.00%,19.21%,,,,,,,,
Fashion,Women,Clothing,Jackets & Coats,,15.00%,19.21%,,,,,,,,
Fashion,Women,Clothing,Jackets & Coats,,15.00%,19.21%,,,,,,,,
Fashion,Women,Clothing,Jackets & Coats,,15.00%,19.21%,,,,,,,,
Fashion,Women,Clothing,Traditional Clothing,Blouses,15.00%,19.21%,,,,,,,,
Fashion,Women,Clothing,Jackets & Coats,,15.00%,19.21%,,,,,,,,
Fashion,Women,Clothing,Jumpsuits & Playsuits,,15.00%,19.21%,,,,,,,,
Fashion,Women,Clothing,Jackets & Coats,,15.00%,19.21%,,,,,,,,
Fashion,Women,Clothing,Shorts,,15.00%,19.21%,,,,,,,,
Fashion,Women,Clothing,Swimwear & Beachwear,,15.00%,19.21%,,,,,,,,
Fashion,Women,Clothing,Traditional Clothing,,15.00%,19.21%,,,,,,,,
Fashion,Women,Clothing,Pants & Leggings,,15.00%,19.21%,,,,,,,,
Fashion,Women,Clothing,Swimwear & Beachwear,,15.00%,19.21%,,,,,,,,
Fashion,Women,Clothing,Shorts,,15.00%,19.21%,,,,,,,,
Fashion,Women,Clothing,Jackets & Coats,,15.00%,19.21%,,,,,,,,
Fashion,Women,Clothing,Jackets & Coats,,15.00%,19.21%,,,,,,,,
Fashion,Women,Clothing,Pants & Leggings,,15.00%,19.21%,,,,,,,,
Fashion,Women,Clothing,Plus Size,,15.00%,19.21%,,,,,,,,
Fashion,Women,Clothing,Traditional Clothing,Shalwars,15.00%,19.21%,,,,,,,,
Fashion,Women,Clothing,Plus Size,,15.00%,19.21%,,,,,,,,
Fashion,Women,Clothing,Swimwear & Beachwear,,15.00%,19.21%,,,,,,,,
Fashion,Women,Clothing,Plus Size,,15.00%,19.21%,,,,,,,,
Fashion,Women,Clothing,Shorts,,15.00%,19.21%,,,,,,,,
Fashion,Women,Clothing,Traditional Clothing,Bridal Dress,15.00%,19.21%,,,,,,,,
Fashion,Women,Clothing,Plus Size,,15.00%,19.21%,,,,,,,,
Fashion,Women,Clothing,Traditional Clothing,Harem Pants,15.00%,19.21%,,,,,,,,
Fashion,Women,Clothing,Traditional Clothing,Wedding Wear,15.00%,19.21%,,,,,,,,
Fashion,Women,Clothing,Traditional Clothing,,15.00%,19.21%,,,,,,,,
Fashion,Women,Clothing,Plus Size,,15.00%,19.21%,,,,,,,,
Fashion,Women,Ethnic Wear,,,15.00%,19.21%,,,,,,,,
Fashion,Women,Jewellery,Bracelets,,15.00%,19.21%,,,,,,,,
Fashion,Women,Jewellery,Earrings,,15.00%,19.21%,,,,,,,,
Fashion,Women,Jewellery,Rings,,15.00%,19.21%,,,,,,,,
Fashion,Women,"Lingerie, Sleep & Lounge",Panties,,15.00%,19.21%,,,,,,,,
Fashion,Women,"Lingerie, Sleep & Lounge",Sleep & Loungewear,,15.00%,19.21%,,,,,,,,
Fashion,Women,"Lingerie, Sleep & Lounge",Shapewear,,15.00%,19.21%,,,,,,,,
Fashion,Women,"Lingerie, Sleep & Lounge",Bras,,15.00%,19.21%,,,,,,,,
Fashion,Women,"Lingerie, Sleep & Lounge",Sexy Lingerie,,15.00%,19.21%,,,,,,,,
Fashion,Women,"Lingerie, Sleep & Lounge",Thermal,,15.00%,19.21%,,,,,,,,
Fashion,Women,"Lingerie, Sleep & Lounge",Lingerie Accessories,,15.00%,19.21%,,,,,,,,
Fashion,Women,"Lingerie, Sleep & Lounge",Lingerie Sets,,15.00%,19.21%,,,,,,,,
Fashion,Women,"Lingerie, Sleep & Lounge",Robes,,15.00%,19.21%,,,,,,,,
Fashion,Women,"Lingerie, Sleep & Lounge",Bodysuits,,15.00%,19.21%,,,,,,,,
Fashion,Women,"Lingerie, Sleep & Lounge",Camisoles & Slips,,15.00%,19.21%,,,,,,,,
Fashion,Women,Muslim Wear,Hijabs,,15.00%,19.21%,,,,,,,,
Fashion,Women,Muslim Wear,Accessories,,15.00%,19.21%,,,,,,,,
Fashion,Women,Shoes,Sneakers,,15.00%,19.21%,,,,,,,,
Fashion,Women,Shoes,Boots,,15.00%,19.21%,,,,,,,,
Fashion,Women,Shoes,Heels,,15.00%,19.21%,,,,,,,,
Fashion,Women,Shoes,Slides & Flip Flops,,15.00%,19.21%,,,,,,,,
Fashion,Women,Shoes,Sandals,,15.00%,19.21%,,,,,,,,
Fashion,Women,Shoes,Flat Shoes,,15.00%,19.21%,,,,,,,,
Fashion,Women,Shoes,Flat Shoes,,15.00%,19.21%,,,,,,,,
Fashion,Women,Shoes,Slides & Flip Flops,,15.00%,19.21%,,,,,,,,
Fashion,Women,Shoes,Slides & Flip Flops,,15.00%,19.21%,,,,,,,,
Fashion,Women,Shoes,Shoes Accessories,,15.00%,19.21%,,,,,,,,
Fashion,Women,Shoes,Heels,,15.00%,19.21%,,,,,,,,
Fashion,Women,Shoes,Flat Shoes,,15.00%,19.21%,,,,,,,,
Fashion,Women,Shoes,Wedges,,15.00%,19.21%,,,,,,,,
Fashion,Women,Shoes,Heels,,15.00%,19.21%,,,,,,,,
Fashion,Women,Shoes,Wedges,,15.00%,19.21%,,,,,,,,
Fashion,Women,Shoes,Wedges,,15.00%,19.21%,,,,,,,,
Fashion,Women,Shoes,Flat Shoes,,15.00%,19.21%,,,,,,,,
Fashion,Women,Shoes,Khussa & Kohlapuri,,15.00%,19.21%,,,,,,,,
Fashion,Women,Shoes,Boots,,15.00%,19.21%,,,,,,,,
Fashion,Women,Shoes,Flat Shoes,,15.00%,19.21%,,,,,,,,
Fashion,Women,Shoes,Boots,,15.00%,19.21%,,,,,,,,
Furniture & Decor,Furniture,Bedroom Furniture,Mattresses,,12.18%,16.02%,,,,,,,,
Furniture & Decor,Furniture,Bedroom Furniture,Beds,,12.18%,16.02%,,,,,,,,
Furniture & Decor,Furniture,Bedroom Furniture,Wardrobes,,12.18%,16.02%,,,,,,,,
Furniture & Decor,Furniture,Bedroom Furniture,Dressers & Drawers,,12.18%,16.02%,,,,,,,,
Furniture & Decor,Furniture,Bedroom Furniture,Bedside Tables,,12.18%,16.02%,,,,,,,,
Furniture & Decor,Furniture,Bedroom Furniture,Bed Ends,,12.18%,16.02%,,,,,,,,
Furniture & Decor,Furniture,Bedroom Furniture,Bedroom Ensembles & Sets,,12.18%,16.02%,,,,,,,,
Furniture & Decor,Furniture,Bedroom Furniture,Bed Headboards,,12.18%,16.02%,,,,,,,,
Furniture & Decor,Furniture,Furniture Protectors & Parts,,,12.35%,16.22%,,,,,,,,
Furniture & Decor,Furniture,Gaming Furniture,Gaming Chairs,,10.88%,14.55%,,,,,,,,
Furniture & Decor,Furniture,Gaming Furniture,Gaming Tables,,10.88%,14.55%,,,,,,,,
Furniture & Decor,Furniture,Hallway & Entry Furniture,Coat Racks & Umbrella Stands,,11.31%,15.04%,,,,,,,,
Furniture & Decor,Furniture,Hallway & Entry Furniture,Hall Stands & Shelving,,11.31%,15.04%,,,,,,,,
Furniture & Decor,Furniture,Hallway & Entry Furniture,Storage Benches,,11.31%,15.04%,,,,,,,,
Furniture & Decor,Furniture,Home Office Furniture,Laptop Tables,,8.70%,12.09%,,,,,,,,
Furniture & Decor,Furniture,Home Office Furniture,Home Office Chairs,,12.18%,16.02%,,,,,,,,
Furniture & Decor,Furniture,Home Office Furniture,Home Office Desks,,12.18%,16.02%,,,,,,,,
Furniture & Decor,Furniture,Home Office Furniture,Filing Cabinets & Office Stands,,12.18%,16.02%,,,,,,,,
Furniture & Decor,Furniture,Home Office Furniture,Ergonomic Accessories,,12.18%,16.02%,,,,,,,,
Furniture & Decor,Furniture,Home Office Furniture,Office Sets,,12.18%,16.02%,,,,,,,,
Furniture & Decor,Furniture,Kids Furniture,Kids Bookcases & Shelving,,12.18%,16.02%,,,,,,,,
Furniture & Decor,Furniture,Kids Furniture,Kids Tables & Sets,,12.18%,16.02%,,,,,,,,
Furniture & Decor,Furniture,Kids Furniture,Kids Chairs,,12.18%,16.02%,,,,,,,,
Furniture & Decor,Furniture,Kids Furniture,Kids Wardrobes,,12.18%,16.02%,,,,,,,,
Furniture & Decor,Furniture,Kids Furniture,Toy Boxes & Organisers,,12.18%,16.02%,,,,,,,,
Furniture & Decor,Furniture,Kids Furniture,Kids Beds,,12.18%,16.02%,,,,,,,,
Furniture & Decor,Furniture,Kitchen & Dining Furniture,Bar Stools,,12.18%,16.02%,,,,,,,,
Furniture & Decor,Furniture,Kitchen & Dining Furniture,Dining Tables,,12.18%,16.02%,,,,,,,,
Furniture & Decor,Furniture,Kitchen & Dining Furniture,Sideboards & Buffets,,12.18%,16.02%,,,,,,,,
Furniture & Decor,Furniture,Kitchen & Dining Furniture,Dining Room Sets,,12.18%,16.02%,,,,,,,,
Furniture & Decor,Furniture,Kitchen & Dining Furniture,Bar Tables & Stools,,12.18%,16.02%,,,,,,,,
Furniture & Decor,Furniture,Kitchen & Dining Furniture,Dining Chairs,,12.18%,16.02%,,,,,,,,
Furniture & Decor,Furniture,Kitchen & Dining Furniture,Wine & Drinks Cabinets,,12.18%,16.02%,,,,,,,,
Furniture & Decor,Furniture,Kitchen & Dining Furniture,Kitchen Tables,,12.18%,16.02%,,,,,,,,
Furniture & Decor,Furniture,Kitchen & Dining Furniture,Kitchen Islands,,12.18%,16.02%,,,,,,,,
Furniture & Decor,Furniture,Living Room Furniture,Sofa Covers & Slips,,12.18%,16.02%,,,,,,,,
Furniture & Decor,Furniture,Living Room Furniture,Beanbag,,12.18%,16.02%,,,,,,,,
Furniture & Decor,Furniture,Living Room Furniture,Bookcases & Shelving,,12.18%,16.02%,,,,,,,,
Furniture & Decor,Furniture,Living Room Furniture,Media & TV Storage,,12.18%,16.02%,,,,,,,,
Furniture & Decor,Furniture,Living Room Furniture,Side Tables,,12.18%,16.02%,,,,,,,,
Furniture & Decor,Furniture,Living Room Furniture,Sofas,,12.18%,16.02%,,,,,,,,
Furniture & Decor,Furniture,Living Room Furniture,Coffee Tables,,12.18%,16.02%,,,,,,,,
Furniture & Decor,Furniture,Living Room Furniture,Chairs,,12.18%,16.02%,,,,,,,,
Furniture & Decor,Furniture,Living Room Furniture,Ottomans,,12.18%,16.02%,,,,,,,,
Furniture & Decor,Furniture,Living Room Furniture,Massage Chairs,,12.18%,16.02%,,,,,,,,
Furniture & Decor,Furniture,Living Room Furniture,Console Tables,,12.18%,16.02%,,,,,,,,
Furniture & Decor,Furniture,Living Room Furniture,Futons & Daybeds,,12.18%,16.02%,,,,,,,,
Furniture & Decor,Furniture,Outdoor Furniture,Outdoor Seating,,12.18%,16.02%,,,,,,,,
Furniture & Decor,Furniture,Outdoor Furniture,Outdoor Tables,,12.18%,16.02%,,,,,,,,
Furniture & Decor,Furniture,Outdoor Furniture,Outdoor Sets,,12.18%,16.02%,,,,,,,,
Furniture & Decor,Furniture,Outdoor Furniture,Shades & Awnings,,12.18%,16.02%,,,,,,,,
Furniture & Decor,Home Decor,Aromatherapy and Home Fragrance,,,11.31%,15.04%,,,,,,,,
Furniture & Decor,Home Decor,Artificial Flowers & Plants,,,11.31%,15.04%,,,,,,,,
Furniture & Decor,Home Decor,Candles & Candleholders,,,11.31%,15.04%,,,,,,,,
Furniture & Decor,Home Decor,Clocks,,,11.31%,15.04%,,,,,,,,
Furniture & Decor,Home Decor,Curtains,,,11.31%,15.04%,,,,,,,,
Furniture & Decor,Home Decor,Cushions & Covers,,,11.31%,15.04%,,,,,,,,
Furniture & Decor,Home Decor,Decorative Accents,,,11.31%,15.04%,,,,,,,,
Furniture & Decor,Home Decor,Decorative Bowls,,,11.31%,15.04%,,,,,,,,
Furniture & Decor,Home Decor,Decorative Door Stops,,,11.31%,15.04%,,,,,,,,
Furniture & Decor,Home Decor,Door Mats,,,11.31%,15.04%,,,,,,,,
Furniture & Decor,Home Decor,Mirrors,,,9.14%,12.59%,,,,,,,,
Furniture & Decor,Home Decor,Picture Frames,,,11.31%,15.04%,,,,,,,,
Furniture & Decor,Home Decor,Room Dividers & Screens,,,11.31%,15.04%,,,,,,,,
Furniture & Decor,Home Decor,Rugs & Carpets,,,12.18%,16.02%,,,,,,,,
Furniture & Decor,Home Decor,Seasonal,,,11.31%,15.04%,,,,,,,,
Furniture & Decor,Home Decor,Table Decor,,,11.31%,15.04%,,,,,,,,
Furniture & Decor,Home Decor,Tapestries & Hangings,,,11.31%,15.04%,,,,,,,,
Furniture & Decor,Home Decor,Vases & Vessels,,,11.31%,15.04%,,,,,,,,
Furniture & Decor,Home Decor,Wall Decor,,,12.18%,16.02%,,,,,,,,
Furniture & Decor,Home Decor,Wall Stickers & Decals,,,12.35%,16.22%,,,,,,,,
Furniture & Decor,Lighting,Ceiling Lights,,,10.44%,14.06%,,,,,,,,
Furniture & Decor,Lighting,Floor Lamps,,,11.31%,15.04%,,,,,,,,
